timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598276896960,1505,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-10,bin,true,,981,373,15,15,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1505,0,1141
1598276898163,385,SSD/workload.php-82,200,OK,SSD Selector Tool 1-1,text,true,,11546,415,15,15,https://ssdhpestage.azurewebsites.net/workload.php,382,0,0
1598276898229,383,SSD/workload.php-82,200,OK,SSD Selector Tool 1-2,text,true,,11546,415,15,15,https://ssdhpestage.azurewebsites.net/workload.php,372,0,0
1598276897921,756,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-8,text,true,,46444,434,15,15,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,377,0,0
1598276897923,765,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-4,bin,true,,117676,361,15,15,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,388,0,0
1598276897549,1216,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-3,bin,true,,117676,361,16,16,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,436,0,0
1598276897261,1513,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-11,bin,true,,981,373,16,16,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1513,0,1123
1598276898378,404,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-7,text,true,,44600,431,16,16,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,370,0,0
1598276898549,399,SSD/js/workload.js-83,200,OK,SSD Selector Tool 1-1,text,true,,3656,328,16,16,https://ssdhpestage.azurewebsites.net/js/workload.js,399,0,0
1598276898612,364,SSD/js/workload.js-83,200,OK,SSD Selector Tool 1-2,text,true,,3067,328,16,16,https://ssdhpestage.azurewebsites.net/js/workload.js,364,0,0
1598276898268,778,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-5,bin,true,,117676,361,16,16,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,374,0,0
1598276898678,464,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-8,text,true,,44600,431,17,17,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,389,0,0
1598276898689,455,SSD/workload.php-82,200,OK,SSD Selector Tool 1-4,text,true,,11546,415,17,17,https://ssdhpestage.azurewebsites.net/workload.php,452,0,0
1598276898331,865,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-9,text,true,,46444,434,17,17,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,359,0,0
1598276898415,985,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-6,bin,true,,117676,361,18,18,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,365,0,0
1598276898766,639,SSD/workload.php-82,200,OK,SSD Selector Tool 1-3,text,true,,11546,415,18,18,https://ssdhpestage.azurewebsites.net/workload.php,637,0,0
1598276897555,1850,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-12,bin,true,,981,373,18,18,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1850,0,1223
1598276898466,983,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-10,text,true,,46444,434,18,18,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,351,0,0
1598276897865,1589,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-13,bin,true,,981,373,18,18,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1589,0,1092
1598276898949,513,SSD/css/fonts/hpe-icons.woff-85,200,OK,SSD Selector Tool 1-1,text,true,,34247,395,18,18,https://ssdhpestage.azurewebsites.net/css/fonts/hpe-icons.woff,500,0,0
1598276898976,494,SSD/css/fonts/hpe-icons.woff-85,200,OK,SSD Selector Tool 1-2,text,true,,34247,395,18,18,https://ssdhpestage.azurewebsites.net/css/fonts/hpe-icons.woff,480,0,0
1598276899047,424,SSD/workload.php-82,200,OK,SSD Selector Tool 1-5,text,true,,11546,415,18,18,https://ssdhpestage.azurewebsites.net/workload.php,415,0,0
1598276899144,373,SSD/js/workload.js-83,200,OK,SSD Selector Tool 1-4,text,true,,3067,328,18,18,https://ssdhpestage.azurewebsites.net/js/workload.js,373,0,0
1598276899196,471,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-9,text,true,,44600,431,19,19,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,424,0,0
1598276898775,909,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-11,text,true,,46444,434,19,19,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,481,0,0
1598276898784,983,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-7,bin,true,,117676,361,19,19,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,562,0,0
